name,date
H5N1|A/chicken/Czech_Republic/2131-6/2025|EPI3978697|2025-02-04,2025.2.4
H5N1|A/duck/USA/24-036645-015/2024|EPI3743516|2024-12-05,2024.12.5
H5N1|A/swan/Croatia/V-27-24_25VIR117-9/2024|EPI3861485|2024-03-11,2024.3.11
H5N1|A/canada_goose/Massachusetts/004865-010/2024|EPI3979849|2024-02-05,2024.2.5
H5N1|A/duck/Florida/24-029493-001/2024|EPI3678992|2024-10-07,2024.10.7
H5N1|A/duck/California/24-035913-008-R2/2024|EPI4006633|2024-11-29,2024.11.29
H5N1|A/laying-hen/Bulgaria/1619_24VIR11025-15/2024|EPI3873305|2024-10-14,2024.10.14
H5N1|A/chicken/USA/24-037219-002/2024|EPI3747025|2024-12-10,2024.12.10
H5N1|A/canada_goose/Massachusetts/004865-024/2024|EPI3980311|2024-02-05,2024.2.5
H5N5|A/large-billed_crow/Hokkaido/B105/2024|EPI3539755|2024-02-19,2024.2.19
H5N1|A/swan/Moldova/10068-1_24VIR10981-55/2024|EPI3853240|2024-11-19,2024.11.19
H5N1|A/common_teal/Italy/24VIR10118-18/2024|EPI3679021|2024-11-16,2024.11.16
H5N1|A/Duck/Volta/AI-T-24-452/2024|EPI3596941|2024-07-05,2024.7.5
H5N1|A/Ross's_goose/Louisiana/W24-1056/2024|EPI4100603|2024-12-11,2024.12.11
H5N1|A/chicken/Italy/25VIR106-1/2025|EPI3849322|2025-01-07,2025.1.7
H5N1|A/bald_eagle/Michigan/24-001663-001-original/2024|EPI3656389|2024-01-11,2024.1.11
H5N1|A/chicken/Gifu/23A1T/2024|EPI3489112|2024-01-05,2024.1.5
H5N1|A/chicken/California/24-034655-001/2024|EPI3819507|2024-11-18,2024.11.18
H5N1|A/pigeon/USA/24-033967-002/2024|EPI3678884|2024-11-09,2024.11.9
H5N1|A/turkey/Iowa/24-036948-001/2024|EPI3884848|2024-12-10,2024.12.10
H5N1|A/chicken/Washington/24-034062-001/2024|EPI3821388|2024-11-13,2024.11.13
H5N1|A/turkey/Germany-MV/2025AI00004/2024|EPI4028323|2024-12-31,2024.12.31
H5N5|A/Herring_Gull/England/140706/2024|EPI3625662|2024-09-28,2024.9.28
H5N1|A/swan/Germany-ST/2024AI04233/2024|EPI3687871|2024-09-11,2024.9.11
H5N1|A/laying_hen/Poland/H467NM/2024(H5N1)|EPI3685474|2024-11-03,2024.11.3
H5N5|A/Great_Black-Backed_Gull/NS/FAV-0243-2/2024|EPI4018982|2024-05-01,2024.5.1
H5N1|A/cygnus_olor/Slovenia/PER1674-24TAZ_24VIR9358-13/2024|EPI3637660|2024-10-15,2024.10.15
H5N1|A/chicken/Arkansas/24-038151-001/2024|EPI3901865|2024-12-18,2024.12.18
H5N1|A/Gallus_gallus/Belgium/01068_0002/2025|EPI3901968|2025-01-29,2025.1.29
H5N1|A/turkey/Italy/24VIR8451-14/2024|EPI3597012|2024-10-01,2024.10.1
H5N1|A/Hooded_crane/Kagoshima/KU-24-17/2024_(H5N1)|EPI3756809|2024-11-21,2024.11.21
H5N1|A/chicken/Czech_Republic/17076-3/2024|EPI3680062|2024-11-05,2024.11.5
H5N1|A/yellow-legged-gull/Italy/25VIR427-2/2025|EPI3932245|2025-01-10,2025.1.10
H5N1|A/chicken/USA/24-032191-001/2024|EPI3675737|2024-10-30,2024.10.30
H5N1|A/Mute_Swan/Germany-HH/2024AI04521/2024|EPI3688012|2024-10-18,2024.10.18
H5N1|A/duck/Illinois/25-000060-001/2024|EPI4006537|2024-12-31,2024.12.31
H5N1|A/Gallus_gallus/Belgium/00910_0001/2025|EPI3905553|2025-01-27,2025.1.27
H5N1|A/duck/Germany-RP/2024AI05172/2024|EPI4028279|2024-12-28,2024.12.28
H5N1|A/snow_goose/Kentucky/W24-1066/2024|EPI4100496|2024-12-13,2024.12.13
H5N1|A/common_loon/Massachusetts/014126-016/2024|EPI3980871|2024-03-11,2024.3.11
H5N1|A/chicken/Czech_Republic/18965-3/2024|EPI3785954|2024-12-04,2024.12.4
H5N1|A/chicken/Utah/24-035260-002/2024|EPI3823506|2024-11-21,2024.11.21
H5N1|A/duck/Hawaii/24-034987-008/2024|EPI3823593|2024-11-15,2024.11.15
H5N1|A/Black-headed_Gull/Italy/24VIR9215-2/2024|EPI3627947|2024-10-21,2024.10.21
H5N1|A/yellow-legged-gull/Italy/25VIR588-1/2025|EPI3932268|2025-01-10,2025.1.10
H5N1|A/chicken/USA/24-031286-006/2024|EPI3649515|2024-10-15,2024.10.15
H5N1|A/chicken/Puerto_Rico/25-000491-001/2024|EPI4006753|2024-12-30,2024.12.30
H5N1|A/mute_swan/Czech_Republic/17294-4/2024|EPI3680134|2024-11-08,2024.11.8
H5N1|A/chicken/Czech_Republic/611-1/2025|EPI3873545|2025-01-13,2025.1.13
H5N1|A/Chicken/BC/FAV-0284-1/2024|EPI3651286|2024-11-01,2024.11.1
H5N1|A/mute_swan/Italy/24VIR9461-2/2024|EPI3637509|2024-10-28,2024.10.28
H5N1|A/turkey/Italy/24VIR1352-4/2024|EPI3093151|2024-02-20,2024.2.20
H5N1|A/Hooded_crane/Kagoshima/KU-24-20/2024_(H5N1)|EPI3871216|2024-11-21,2024.11.21
H5N1|A/Larus_michaellis/Spain/4508-11_24VIR10678-46/2024|EPI3729904|2024-10-30,2024.10.30
H5N1|A/chicken/Czech_Republic/18657-5/2024|EPI3785930|2024-11-29,2024.11.29
H5N1|A/chicken/USA/24-031862-015/2024|EPI3649475|2024-10-27,2024.10.27
H5N1|A/sanderling/Massachusetts/007610-003/2024|EPI3980064|2024-02-23,2024.2.23
H5N1|A/domestic_duck/Czech_Republic/18656-1/2024|EPI3785874|2024-11-28,2024.11.28
H5N1|A/Morus_bassanus/Spain/4274-27_24VIR10678-45/2024|EPI3729897|2024-10-23,2024.10.23
H5N1|A/chicken/Czech_Republic/17651-3/2024|EPI3680198|2024-11-17,2024.11.17
H5N1|A/turkey/Poland/H75-T1/2024(H5N1)|EPI3182916|2024-02-26,2024.2.26
H5N1|A/green-winged_teal/North_Carolina/24-001600-005-original/2024|EPI3656341|2024-01-06,2024.1.6
H5N1|A/chicken/Iowa/24-036502-001/2024|EPI3901521|2024-12-08,2024.12.8
H5N1|A/swan/Croatia/V-119-24_25VIR117-13/2024|EPI3684918|2024-10-24,2024.10.24
H5N1|A/laying-hen/Italy/24VIR11586-3/2024|EPI3774162|2024-12-30,2024.12.30
H5N5|A/Pheasant/England/044085/2024|EPI3625518|2024-09-23,2024.9.23
H5N1|A/chicken/Czech_Republic/20125-2/2024|EPI3873626|2024-12-20,2024.12.20
H5N1|A/chicken/Slovakia/Vh-1919/2024|EPI3766312|2024-10-16,2024.10.16
H5N1|A/chicken/Northern-Ireland/25-002179_2-14310_25VIR1796-7/2025|EPI4114710|2025-02-22,2025.2.22
H5N1|A/chicken/Czech_Republic/17651-1/2024|EPI3680182|2024-11-17,2024.11.17
H5N1|A/canada_goose/Massachusetts/004865-016/2024|EPI3979809|2024-02-05,2024.2.5
H5N1|A/chicken/Idaho/25-000072-001/2024|EPI4006745|2024-12-26,2024.12.26
H5N1|A/chicken/Czech_Republic/16692-1/2024|EPI3680006|2024-10-23,2024.10.23
H5N1|A/chicken/Czech_Republic/2379-2/2025|EPI3998588|2025-02-09,2025.2.9
H5N1|A/pheasant/Kansas/24-000769-001-original/2024|EPI3509759|2024-01-08,2024.1.8
H5N1|A/american_crow/Massachusetts/014126-024/2024|EPI3980807|2024-03-20,2024.3.20
H5N1|A/Hooded_crane/Kagoshima/KU-24-9/2024_(H5N1)|EPI3872654|2024-11-19,2024.11.19
H5N1|A/tufted_duck/Niigata/5111001/2024|EPI3665496|2024-11-03,2024.11.3
H5N1|A/chicken/Czech_Republic/15043_2/2024|EPI3633338|2024-10-08,2024.10.8
H5N1|A/common-shelduck/Italy/24VIR11623-6/2024|EPI3853264|2024-12-24,2024.12.24
H5N1|A/Chicken/BC/FAV-0266-1/2024|EPI3646667|2024-10-21,2024.10.21
H5N1|A/peregrine_falcon/Hokkaido/4803Z006/2024|EPI3292998|2024-03-15,2024.3.15
H5N1|A/chicken/Czech_Republic/2131-2/2025|EPI3978625|2025-02-04,2025.2.4
H5N1|A/swan/Croatia/V-113-24_25VIR117-12/2024|EPI3684917|2024-10-24,2024.10.24
H5N1|A/swan/Moldova/10068-2_24VIR10981-56/2024|EPI3853248|2024-11-20,2024.11.20
H5N1|A/turkey/Minnesota/24-038168-001/2024|EPI3901913|2024-12-19,2024.12.19
H5N1|A/chicken/Florida/24-027090-001/2024|EPI3678928|2024-09-16,2024.9.16
H5N1|A/chicken/Florida/24-029152-001/2024|EPI3678936|2024-10-02,2024.10.2
H5N1|A/chicken/Nebraska/24-037518-001/2024|EPI3901673|2024-12-13,2024.12.13
H5N5|A/White-tailed_eagle/Norway/2024-07-14/2024|EPI2966934|2024-01-16,2024.1.16
H5N1|A/swan/Iowa/24-037722-001/2024|EPI3901729|2024-12-14,2024.12.14
